gene_combination,Type,LN_mean,Geo_mean,50_percentile,60_percentile,70_percentile,80_percentile,90_percentile,95_percentile,96_percentile,97_percentile,98_percentile,99_percentile,LN_mean_relative,Geo_mean_relative,50_percentile_relative,60_percentile_relative,70_percentile_relative,80_percentile_relative,90_percentile_relative,95_percentile_relative,96_percentile_relative,97_percentile_relative,98_percentile_relative,99_percentile_relative,Bootstrap_id,70_percentile_relative_95P,70_percentile_relative_5P,70_percentile_relative_fraction_greater_than_one,70_percentile_relative_bootstrap_median,70_percentile_relative_bootstrap_mean,70_percentile_relative_97.5P,70_percentile_relative_2.5P,LN_mean_relative_95P,LN_mean_relative_5P,LN_mean_relative_fraction_greater_than_one,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,90_percentile_relative_95P,90_percentile_relative_5P,90_percentile_relative_fraction_greater_than_one,90_percentile_relative_bootstrap_median,90_percentile_relative_bootstrap_mean,90_percentile_relative_97.5P,90_percentile_relative_2.5P,60_percentile_relative_95P,60_percentile_relative_5P,60_percentile_relative_fraction_greater_than_one,60_percentile_relative_bootstrap_median,60_percentile_relative_bootstrap_mean,60_percentile_relative_97.5P,60_percentile_relative_2.5P,98_percentile_relative_95P,98_percentile_relative_5P,98_percentile_relative_fraction_greater_than_one,98_percentile_relative_bootstrap_median,98_percentile_relative_bootstrap_mean,98_percentile_relative_97.5P,98_percentile_relative_2.5P,50_percentile_relative_95P,50_percentile_relative_5P,50_percentile_relative_fraction_greater_than_one,50_percentile_relative_bootstrap_median,50_percentile_relative_bootstrap_mean,50_percentile_relative_97.5P,50_percentile_relative_2.5P,Geo_mean_relative_95P,Geo_mean_relative_5P,Geo_mean_relative_fraction_greater_than_one,Geo_mean_relative_bootstrap_median,Geo_mean_relative_bootstrap_mean,Geo_mean_relative_97.5P,Geo_mean_relative_2.5P,96_percentile_relative_95P,96_percentile_relative_5P,96_percentile_relative_fraction_greater_than_one,96_percentile_relative_bootstrap_median,96_percentile_relative_bootstrap_mean,96_percentile_relative_97.5P,96_percentile_relative_2.5P,95_percentile_relative_95P,95_percentile_relative_5P,95_percentile_relative_fraction_greater_than_one,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,99_percentile_relative_95P,99_percentile_relative_5P,99_percentile_relative_fraction_greater_than_one,99_percentile_relative_bootstrap_median,99_percentile_relative_bootstrap_mean,99_percentile_relative_97.5P,99_percentile_relative_2.5P,97_percentile_relative_95P,97_percentile_relative_5P,97_percentile_relative_fraction_greater_than_one,97_percentile_relative_bootstrap_median,97_percentile_relative_bootstrap_mean,97_percentile_relative_97.5P,97_percentile_relative_2.5P,80_percentile_relative_95P,80_percentile_relative_5P,80_percentile_relative_fraction_greater_than_one,80_percentile_relative_bootstrap_median,80_percentile_relative_bootstrap_mean,80_percentile_relative_97.5P,80_percentile_relative_2.5P,70_percentile_relative_pvalue,70_percentile_relative_pvalue_FDR,70_percentile_relative_pvalue_twoside,70_percentile_relative_pvalue_twoside_FDR,LN_mean_relative_pvalue,LN_mean_relative_pvalue_FDR,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,90_percentile_relative_pvalue,90_percentile_relative_pvalue_FDR,90_percentile_relative_pvalue_twoside,90_percentile_relative_pvalue_twoside_FDR,60_percentile_relative_pvalue,60_percentile_relative_pvalue_FDR,60_percentile_relative_pvalue_twoside,60_percentile_relative_pvalue_twoside_FDR,98_percentile_relative_pvalue,98_percentile_relative_pvalue_FDR,98_percentile_relative_pvalue_twoside,98_percentile_relative_pvalue_twoside_FDR,50_percentile_relative_pvalue,50_percentile_relative_pvalue_FDR,50_percentile_relative_pvalue_twoside,50_percentile_relative_pvalue_twoside_FDR,Geo_mean_relative_pvalue,Geo_mean_relative_pvalue_FDR,Geo_mean_relative_pvalue_twoside,Geo_mean_relative_pvalue_twoside_FDR,96_percentile_relative_pvalue,96_percentile_relative_pvalue_FDR,96_percentile_relative_pvalue_twoside,96_percentile_relative_pvalue_twoside_FDR,95_percentile_relative_pvalue,95_percentile_relative_pvalue_FDR,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,99_percentile_relative_pvalue,99_percentile_relative_pvalue_FDR,99_percentile_relative_pvalue_twoside,99_percentile_relative_pvalue_twoside_FDR,97_percentile_relative_pvalue,97_percentile_relative_pvalue_FDR,97_percentile_relative_pvalue_twoside,97_percentile_relative_pvalue_twoside_FDR,80_percentile_relative_pvalue,80_percentile_relative_pvalue_FDR,80_percentile_relative_pvalue_twoside,80_percentile_relative_pvalue_twoside_FDR
Shp2_Sos2_Arid1a,Experiment,194.16620455971164,140.82192909394908,115.92489884984316,141.287284144427,171.40479534580757,217.16606720925466,368.0018806771998,738.4055774477098,806.2917670591446,984.5433468200212,1062.9723750667702,1939.239505798613,0.5219778741416157,0.5783418211839274,0.6538461538461539,0.647843579085352,0.6065825257515524,0.492277019965787,0.3854732080598268,0.4152199198132508,0.3916510861848749,0.376742754789891,0.32757306740924463,0.40101654732299474,Real,0.7430279379167793,0.5387605565153596,0.0,0.613592502564521,0.6293787827867499,0.7640694550060969,0.5305216877140153,0.6524488603897256,0.46559462925619766,0.0,0.5344399342491104,0.5402034224627188,0.6560117167669578,0.4649937097711969,0.5326631234913313,0.3061327549033003,0.0,0.4026225814468032,0.41038229827843303,0.5525323498935958,0.30072701515973976,0.7380907669083989,0.6066691216680493,0.0,0.6640092957461856,0.6722207808862397,0.7462264669716713,0.5926760279452704,1.3500256519784775,0.21580474963269605,0.1,0.39171711086819,0.530897090298159,1.664546612227582,0.21340418023675964,0.7585165712271801,0.5901924473930298,0.0,0.6668360815920132,0.6628539996802655,0.7754638287937209,0.5861345520669056,0.6529778256561903,0.5365965313529412,0.0,0.5833812949494834,0.5885369346657925,0.6635067887232377,0.5338914229025142,0.5177014084199717,0.27461176840769913,0.0,0.39469548020305384,0.39757577313405656,0.5293371808041135,0.2554021442536295,0.5186113593124726,0.3018323430564753,0.0,0.40822007725473747,0.40844484461497227,0.5253051754552502,0.2894669844086564,1.3688146974421427,0.20534978148152103,0.2,0.5169149265214538,0.6493321810367744,1.4753622931638084,0.1890584924977151,0.7337631179367532,0.25431454688078114,0.0,0.3653045873904973,0.4183839300751678,0.8394650899420708,0.25309491211014995,0.629221458864928,0.4412065664455333,0.0,0.5248959543792587,0.5286896053366632,0.6541174087053688,0.4265468368674804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13329312424607961,0.2,0.26658624849215923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2514220705346985,0.4,0.502844141069397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shp2_Sos2_Keap1,Experiment,257.38660954729176,150.3315415820471,119.16765973049776,143.77328293009293,187.57826684121545,292.96819231703955,533.5292174538674,1172.322849844398,1346.9404200642684,1463.6648145996635,2626.401668512654,5894.0450603642985,0.6919335709768016,0.617396864958046,0.6721361566901947,0.6592426116356651,0.6638186443214125,0.664107015022878,0.5588591522063201,0.6592201014923988,0.6542677230459504,0.5600821092563995,0.8093704699987206,1.2188332554106394,Real,0.8674115921084322,0.5620401809537668,0.0,0.6803779692862579,0.6963438537376647,0.8768072434255182,0.5564618100865716,1.3682735868752784,0.5494915664034912,0.2,0.7332066812670002,0.8301159208696942,1.4594964135635295,0.5248265289210599,1.2583425823636591,0.42737257189104366,0.2,0.5624128162096467,0.7019139763413481,1.3351006860824033,0.41421820083913896,0.823349241271492,0.6383211480472005,0.0,0.7013888888888888,0.7141317704276855,0.8316559408260618,0.6349500477078108,6.360954701291983,0.44651953449169596,0.6,1.1855351061229447,2.0697192055252858,8.008017267319133,0.4065397945794091,0.7515409491001458,0.597764726158475,0.0,0.7124228146772721,0.6860990225887041,0.7627512746724626,0.5950487824670052,0.7875865285998704,0.5514212414509599,0.0,0.6329326561325603,0.6486601949758448,0.8080925725295329,0.5362150597929677,3.5571033148211884,0.4550954960228274,0.2,0.6466691467788379,1.198568407149796,3.814573965148185,0.4025477480114133,1.730530512690842,0.3411245159650008,0.2,0.7345033899621598,0.8557230873345096,1.941044695862773,0.3343944625787821,6.671658568429818,0.28904199269600866,0.7,1.5685040445667364,2.6291994623476755,6.84422486319593,0.2651035626645176,7.30296733573217,0.48758767953765386,0.3,0.711886764672657,1.938601011613235,9.301483270788843,0.4807615314873404,0.9844967696584902,0.5318051255150728,0.1,0.6857359859184103,0.7220489650591188,1.0048398606253681,0.5206808845403549,0.0,0.0,0.0,0.0,0.2,0.2168792934249264,0.4,0.4337585868498528,0.2,0.22413793103448276,0.4,0.4482758620689655,0.0,0.0,0.0,0.0,0.4,0.4130841121495327,0.8,0.8261682242990654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23020833333333332,0.4,0.46041666666666664,0.2,0.22807017543859648,0.4,0.45614035087719296,0.30000000000000004,0.3345105953582241,0.6000000000000001,0.6690211907164482,0.3,0.32500000000000007,0.6,0.6500000000000001,0.1,0.12236987818383167,0.2,0.24473975636766335
Shp2_Sos2_Lkb1,Experiment,225.69343951002628,142.85439643638344,119.70671853957803,142.43572104059572,164.75591909898088,262.596071733561,572.4714824551326,1081.0496433480819,1417.5137915010437,1554.4246261436083,2011.6212756451,2316.2355284387145,0.6067326805418594,0.5866889647849509,0.6751765865936148,0.6531094986171273,0.5830528914780602,0.595258795763699,0.5996502475983595,0.6078953896538261,0.6885482883551508,0.594812018849225,0.6199154062563208,0.47897579005788105,Real,0.6816318800739348,0.5074203668955595,0.0,0.5690551105111763,0.5789695324520083,0.6878534753768862,0.505467058009153,0.7306912735428092,0.5203746279946491,0.0,0.5638954191071754,0.5925314359817632,0.7333762000222132,0.5152845088125755,0.9109576947854578,0.46190998460462324,0.0,0.5530380311075653,0.622232888620718,0.9411931331070148,0.44962739090833753,0.7129545717558029,0.6029624750260255,0.0,0.6435108455687203,0.6496694552719149,0.7170409656166308,0.5983830983667625,0.7068650029765062,0.43942717334259773,0.0,0.5683413387981786,0.5714416184261492,0.7228038069417516,0.4175778781224499,0.7307965510270725,0.5697583933255772,0.0,0.6492378549067793,0.6480237855983415,0.7405106590650479,0.551595528697949,0.6278267162770449,0.5310039530270332,0.0,0.5575698679100265,0.5682990492569235,0.6334347054867011,0.5300617875101048,0.9349244388016916,0.4441853682413289,0.0,0.6038785057361753,0.6522781879737988,0.9669192546553973,0.43445393156871726,0.9576629136482501,0.47445534812497714,0.1,0.5663600787783147,0.6474084781944278,1.0255131740499748,0.46885534552288405,0.6324644470028217,0.3478935349279124,0.0,0.4208027614438097,0.4517847082120602,0.685885200495246,0.34629679822911985,0.7842022989478211,0.49624375219884986,0.0,0.6242089085866871,0.623777911289044,0.7999317726034155,0.4931150213641581,0.714398958769787,0.46107128716714535,0.0,0.558559249647598,0.5713801163719685,0.7405571465509239,0.4345386324819501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12585421412300685,0.2,0.2517084282460137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shp2_Sos2_Mga,Experiment,169.03870200142404,129.63934859724606,102.15507042639265,124.0295632146309,156.09835507730557,208.13975787344344,345.0988928289885,575.0011996790885,675.6375869436737,776.5148042900356,812.3198933314551,1590.937870428975,0.4544274968882485,0.5324160622370775,0.5761807908126562,0.5687118740510437,0.5524147343569092,0.4718159750234345,0.36148287359806,0.32333443748964824,0.3281866510419263,0.2971391025578073,0.2503302300395347,0.3289910348346008,Real,0.6221721435337411,0.40921768140311515,0.0,0.5303146900860046,0.5226321103176966,0.6442978397668975,0.39929851765967683,0.5582246571752726,0.3773028196755363,0.0,0.47385280988642997,0.4648621546188781,0.5659654610121324,0.36545014555404554,0.47811890402146556,0.3034133997114255,0.0,0.37842551389591184,0.3830760487278567,0.5032307670179141,0.2848213801084166,0.6690846013015694,0.46561984388248795,0.0,0.5581849513724997,0.5538242669411769,0.6911688781249284,0.4619765886079107,0.6354987341750495,0.1659741059053097,0.0,0.22779631880257645,0.32184504659151864,0.6661422811854901,0.16305165580951325,0.6230603448275862,0.5095033881067773,0.0,0.5849498021179163,0.5778439209927408,0.6240301724137931,0.5031996653959593,0.5964284788470385,0.4715112720216035,0.0,0.5472085229197778,0.5403086348775047,0.6009831018169707,0.4683923847070632,0.6877539720892285,0.2133231857070955,0.0,0.3381176599840934,0.3685948478628488,0.7745768609152538,0.21265133268376618,0.46360984899454244,0.21511146879791881,0.0,0.34075196362994287,0.33494828670387866,0.49313304875396674,0.21388674350438408,0.6280591396782201,0.12339230447004372,0.0,0.34626468917317504,0.3441419931506702,0.6601303455585681,0.1187566544957122,0.6912689641004286,0.18563022799469686,0.0,0.27395275871619995,0.3349108473918221,0.8038072016535075,0.18454946210169693,0.5699757275782369,0.3670041213359099,0.0,0.4883510649177455,0.4730637633693705,0.5759925524733165,0.3653202424861368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shp2_Sos2_Rb1,Experiment,247.96071610490378,133.67085583849163,103.77544969361534,126.73792904396093,150.84299814045735,299.92998243974176,597.3541846615468,1167.0394967000238,1311.9508502309907,1398.0741287365024,1567.454030037698,3775.100120778922,0.6665938995746653,0.5489730662137993,0.5853201453616556,0.5811305246250901,0.5338166100859519,0.6798881604811544,0.6257142857142879,0.6562491685309567,0.6372717625385927,0.5349833507705907,0.48303769381605843,0.7806553093141232,Real,0.8232134786225526,0.4437768065200752,0.0,0.535894924388406,0.5863952678636246,0.8543740825646049,0.43531644973676037,0.7918116848394313,0.5047840061414122,0.0,0.63739657513771,0.6334813853558241,0.806590303634148,0.5043330119535131,0.8680110971422184,0.495893288428051,0.0,0.5770698260605968,0.610519199549011,0.9236559509482664,0.49395309264580467,0.6476962782002039,0.5320352167174817,0.0,0.585625500646749,0.5879422642210834,0.6535720283730148,0.5298616258160893,2.088574747156796,0.3241288943628494,0.2,0.40489073179985,0.7567989461304112,2.100716309776673,0.32002329605038615,0.6835641532100323,0.5421565671253333,0.0,0.6068184940572271,0.6040782152944171,0.6905656284346637,0.5420128890937709,0.6242860859956794,0.4793999452347013,0.0,0.5434375743687088,0.5446591255886172,0.6357482711634629,0.4764635497035005,0.6952007191091018,0.4395963286669426,0.0,0.553366043812654,0.5585123432615008,0.7022772134943881,0.428047792755769,0.7333328211453547,0.46866103063458864,0.0,0.6088955041200307,0.59951084663087,0.7440468973281947,0.4581330923585956,6.161408609356005,0.24065159686821141,0.4,0.3253632002554322,1.8170803729951133,7.0237775293409195,0.23965229916617012,0.7067968268025249,0.42245126027438656,0.0,0.45807515940016647,0.5088318269333744,0.7606065163844301,0.4181627188274575,0.8638655592396132,0.3925584527648085,0.0,0.5753850477962024,0.6326322987122703,0.8667866221804512,0.37137597874569966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2386609071274298,0.4,0.4773218142548596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4169811320754717,0.8,0.8339622641509434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
