gene_combination_unordered,Array_category,Mouse_genotype,Fitness,Fitness_bootstrap_median,Fitness_bootstrap_mean,Fitness_97.5P,Fitness_2.5P,Fitness_pvalue_twoside,Fitness_pvalue_twoside_FDR
Arid1a_Keap1_Lkb1,Triple_TSG,KTCas12a,0.6445164946024042,0.6449178186585166,0.6626941275612916,0.9967723316418335,0.34471952145910323,0.0,0.0
Arid1a_Keap1_Mga,Triple_TSG,KTCas12a,0.24755389926878807,0.2501612090010418,0.25324942201100986,0.48703000619484293,0.015614731059055727,0.038,0.0415126050420168
Arid1a_Keap1_Rb1,Triple_TSG,KTCas12a,0.8773122681746269,0.8666395772471029,0.8795186918752603,1.1632072490508203,0.5759054712150756,0.0,0.0
Arid1a_Keap1_Rbm10,Triple_TSG,KTCas12a,0.41625949587694644,0.4151369772624985,0.42123694825315217,0.6875128476784902,0.13937419071935828,0.006,0.0069642857142857145
Arid1a_Keap1_Safe,Double_TSG,KTCas12a,0.3112021880398845,0.3161811947169296,0.32830630388888193,0.5969982491953372,0.07246860232555474,0.004,0.0046846846846846845
Arid1a_Keap1_Tet2,Triple_TSG,KTCas12a,0.08682091309369942,0.09113929327061056,0.09655016128312378,0.31245284165836906,-0.1380253367225785,0.4179999999999999,0.43471999999999994
Arid1a_Keap1_Trp53,Triple_TSG,KTCas12a,1.2649322593277135,1.2516429718563078,1.2775277206586861,1.6363313697163888,0.9530354751299052,0.0,0.0
Arid1a_Keap1_Tsc2,Triple_TSG,KTCas12a,0.7397963025170828,0.7296226058928132,0.7714747266601378,1.2385395717606702,0.3457975601387153,0.0,0.0
Arid1a_Lkb1_Mga,Triple_TSG,KTCas12a,1.2224514855556732,1.2187485751637386,1.2395057872136515,1.5627991865095758,0.9431519433434358,0.0,0.0
Arid1a_Lkb1_Rb1,Triple_TSG,KTCas12a,1.8329674998918006,1.8308011739447048,1.850482861426101,2.2898916052784997,1.3815372805258592,0.0,0.0
Arid1a_Lkb1_Rbm10,Triple_TSG,KTCas12a,1.2131831158638895,1.1874929943088663,1.2179003482932638,1.598700226209251,0.8535132150672964,0.0,0.0
Arid1a_Lkb1_Safe,Double_TSG,KTCas12a,0.9110288657052531,0.9093115003633558,0.9133712620931465,1.1427198122285247,0.6719373651540042,0.0,0.0
Arid1a_Lkb1_Tet2,Triple_TSG,KTCas12a,0.8751676293586923,0.8692281069011265,0.8796475328237063,1.1686911080082965,0.6013065114819788,0.0,0.0
Arid1a_Lkb1_Trp53,Triple_TSG,KTCas12a,1.6226907409027285,1.613726119388658,1.630919562596837,2.0276028401484014,1.2474888787912264,0.0,0.0
Arid1a_Lkb1_Tsc2,Triple_TSG,KTCas12a,1.3567322942978992,1.3704162539044822,1.3768903211417711,1.7156831510744204,1.0275196593156974,0.0,0.0
Arid1a_Mga_Rb1,Triple_TSG,KTCas12a,1.2843951793398076,1.2804180041644808,1.2848149963844384,1.6012894045600008,0.9131041641688546,0.0,0.0
Arid1a_Mga_Rbm10,Triple_TSG,KTCas12a,0.536450618904308,0.5266560539204947,0.536104732773328,0.778996510185529,0.2870727703548437,0.0,0.0
Arid1a_Mga_Safe,Double_TSG,KTCas12a,0.2969614094055926,0.29894285935609344,0.3028291809856508,0.48734194989182555,0.1007503693069153,0.002,0.0024074074074074076
Arid1a_Mga_Tet2,Triple_TSG,KTCas12a,0.18700462432352757,0.1835635131663866,0.1885075914537627,0.3696160053791123,0.00810398578838464,0.036,0.03966101694915254
Arid1a_Mga_Trp53,Triple_TSG,KTCas12a,0.8156863339351476,0.8071539924787247,0.8183700404438365,1.0513203365771775,0.5795338633608128,0.0,0.0
Arid1a_Mga_Tsc2,Triple_TSG,KTCas12a,1.0744250011053906,1.0722559785812722,1.082991497535587,1.3736285852815366,0.8096829681834302,0.0,0.0
Arid1a_Rb1_Rbm10,Triple_TSG,KTCas12a,1.3278973959502618,1.324362754575844,1.319042809675092,1.6037088137737554,0.9312399922086476,0.0,0.0
Arid1a_Rb1_Safe,Double_TSG,KTCas12a,1.0899045035926271,1.075190668456635,1.086686353890688,1.407547776606126,0.7448939149594446,0.0,0.0
Arid1a_Rb1_Tet2,Triple_TSG,KTCas12a,0.9429243876649582,0.9189043972350834,0.9333616124237417,1.300521689383465,0.5364627808319669,0.0,0.0
Arid1a_Rb1_Trp53,Triple_TSG,KTCas12a,1.8152097238688931,1.7936803588749883,1.81440412258039,2.2550392298578217,1.3520600623585783,0.0,0.0
Arid1a_Rb1_Tsc2,Triple_TSG,KTCas12a,2.4366007290980933,2.4378890278821097,2.4790327539160937,3.0631136653382414,1.780309561960536,0.0,0.0
Arid1a_Rbm10_Safe,Double_TSG,KTCas12a,0.40491176967474335,0.38890765630330587,0.4006346441284456,0.6575617274339224,0.15594715150726102,0.002,0.0024074074074074076
Arid1a_Rbm10_Tet2,Triple_TSG,KTCas12a,0.285757977287741,0.2933851261403784,0.29536578033998767,0.5350717372696487,0.026267673356718094,0.028,0.03137931034482759
Arid1a_Rbm10_Trp53,Triple_TSG,KTCas12a,0.9942289054923412,0.9845328800369328,0.9896718042746495,1.2314950048877766,0.7503487824675144,0.0,0.0
Arid1a_Rbm10_Tsc2,Triple_TSG,KTCas12a,1.1736318146200226,1.1752977198426477,1.1981764094012928,1.5583171174277481,0.8538142161112796,0.0,0.0
Arid1a_Safe_Safe,Single_TSG,KTCas12a,0.30929505627630255,0.2914266873085348,0.3017730589647063,0.5935606290937774,0.014024678784011492,0.036,0.03966101694915254
Arid1a_Safe_Tet2,Double_TSG,KTCas12a,0.0858320746846506,0.08203150168888886,0.08102302235844891,0.2643288801438709,-0.11606101223385215,0.4399999999999999,0.45396825396825385
Arid1a_Safe_Trp53,Double_TSG,KTCas12a,0.53462161309332,0.5352910157128996,0.5473365775026726,0.7767359267057771,0.3144010700085445,0.0,0.0
Arid1a_Safe_Tsc2,Double_TSG,KTCas12a,0.7418142175896338,0.7456489364285288,0.7511176035808373,1.0149095370009977,0.4683228443804134,0.0,0.0
Arid1a_Tet2_Trp53,Triple_TSG,KTCas12a,0.7710752757469668,0.7641835452920855,0.7754079906699028,1.052385860948643,0.5212039161222148,0.0,0.0
Arid1a_Tet2_Tsc2,Triple_TSG,KTCas12a,0.7747481696013375,0.7756334131673721,0.7897833931566978,1.1388708281774154,0.4297238159979995,0.0,0.0
Arid1a_Trp53_Tsc2,Triple_TSG,KTCas12a,1.5019460393402708,1.5001473172553783,1.5147829360793386,1.853234893297273,1.1625968086830853,0.0,0.0
Keap1_Lkb1_Mga,Triple_TSG,KTCas12a,0.7688578479360818,0.7681197605404215,0.7928776366826644,1.136891243275075,0.5027700888043332,0.0,0.0
Keap1_Lkb1_Rb1,Triple_TSG,KTCas12a,1.6217555943444695,1.6079060323023122,1.6321932397262675,2.0276495797821736,1.2358869111893829,0.0,0.0
Keap1_Lkb1_Rbm10,Triple_TSG,KTCas12a,0.8742367449348754,0.8804194877594218,0.8955672024090099,1.2437667830954429,0.545632315595719,0.0,0.0
Keap1_Lkb1_Safe,Double_TSG,KTCas12a,0.5679110390980768,0.5720409171346175,0.5803388908407501,0.8458149068089625,0.3402807301195474,0.0,0.0
Keap1_Lkb1_Tet2,Triple_TSG,KTCas12a,0.3648826951679769,0.36570554458692095,0.37658551291804165,0.6505730578508442,0.11003326114463677,0.004,0.0046846846846846845
Keap1_Lkb1_Trp53,Triple_TSG,KTCas12a,1.2592191885524913,1.246147950511054,1.2726148519798393,1.647608279823508,0.8812627036768217,0.0,0.0
Keap1_Lkb1_Tsc2,Triple_TSG,KTCas12a,0.8905000953460528,0.8865718890980294,0.9041447775196073,1.2050021566748654,0.6161737556728029,0.0,0.0
Keap1_Mga_Rb1,Triple_TSG,KTCas12a,0.8663601906209032,0.8462279538671731,0.8583120473453985,1.1896234193433246,0.5226660639674647,0.0,0.0
Keap1_Mga_Rbm10,Triple_TSG,KTCas12a,0.21501310565116208,0.21826599447977046,0.22763513776072108,0.4531924808081015,0.0004169170324457774,0.05,0.05416666666666667
Keap1_Mga_Safe,Double_TSG,KTCas12a,-0.1251167401236753,-0.12224713811977023,-0.1221059455908307,0.060996690332608364,-0.30828619338930124,0.188,0.20032786885245904
Keap1_Mga_Tet2,Triple_TSG,KTCas12a,-0.030019761745288986,-0.027216537828732488,-0.020935444117549332,0.16558710928694226,-0.19550649796490016,0.76,0.771875
Keap1_Mga_Trp53,Triple_TSG,KTCas12a,0.6163446688309789,0.6150979887337241,0.6179200192774306,0.8256285084752597,0.4155431220935571,0.0,0.0
Keap1_Mga_Tsc2,Triple_TSG,KTCas12a,0.5670987287328839,0.5700062789633021,0.590326058981958,0.9442265286653224,0.25156613648110054,0.0,0.0
Keap1_Rb1_Rbm10,Triple_TSG,KTCas12a,0.7581596144863461,0.7445566025962606,0.7566587595734817,0.9980402593889898,0.5269726621881995,0.0,0.0
Keap1_Rb1_Safe,Double_TSG,KTCas12a,0.3622603067713353,0.3549415179235698,0.3584933409266595,0.5460518238965435,0.1716447129924717,0.0,0.0
Keap1_Rb1_Tet2,Triple_TSG,KTCas12a,0.44547686206408504,0.4374964388044185,0.4395966499480182,0.6718557266815112,0.1826827192368391,0.0,0.0
Keap1_Rb1_Trp53,Triple_TSG,KTCas12a,2.085157086129065,2.0778956108331457,2.0950881352957835,2.4160693217827673,1.7818572882582309,0.0,0.0
Keap1_Rb1_Tsc2,Triple_TSG,KTCas12a,2.127985607217451,2.122791448903088,2.1429324070577045,2.5561842453836876,1.7724342796754342,0.0,0.0
Keap1_Rbm10_Safe,Double_TSG,KTCas12a,-0.0348287876429609,-0.03646251735227244,-0.030733973339648387,0.17519148946691437,-0.24719388390733993,0.772,0.777984496124031
Keap1_Rbm10_Tet2,Triple_TSG,KTCas12a,-0.08512256087648944,-0.08636640134200413,-0.08448034635525346,0.11941848676736792,-0.31458620596775294,0.45,0.46062992125984253
Keap1_Rbm10_Trp53,Triple_TSG,KTCas12a,0.7282425804978951,0.7377858545293337,0.7347976734888663,0.9586300943425905,0.467168565746274,0.0,0.0
Keap1_Rbm10_Tsc2,Triple_TSG,KTCas12a,0.7877144581779959,0.7796992265955809,0.8061860120826577,1.185221641978919,0.481542762393745,0.0,0.0
Keap1_Safe_Safe,Single_TSG,KTCas12a,-0.1491815371890891,-0.15388915314524432,-0.14462500907241066,0.10613410333744751,-0.38447581102243156,0.228,0.24097560975609755
Keap1_Safe_Tet2,Double_TSG,KTCas12a,-0.16378123142208836,-0.15817270506183068,-0.16052248531380112,-0.02998134034581685,-0.3078332998255414,0.024,0.027130434782608695
Keap1_Safe_Trp53,Double_TSG,KTCas12a,0.3859004646354507,0.38185413016500996,0.3838447966028057,0.5368207347470098,0.2241058075835772,0.0,0.0
Keap1_Safe_Tsc2,Double_TSG,KTCas12a,0.3996747001896998,0.3995792458131481,0.4123775889487019,0.666774243031075,0.18273000452980098,0.0,0.0
