gene_combination_unordered,gene_a,gene_b,gene_c,ko_a_in_wt,ko_a_in_wt_bootstrap_median,ko_a_in_wt_bootstrap_mean,ko_a_in_wt_97.5P,ko_a_in_wt_2.5P,ko_a_in_wt_pvalue_twoside,ko_b_in_wt,ko_b_in_wt_bootstrap_median,ko_b_in_wt_bootstrap_mean,ko_b_in_wt_97.5P,ko_b_in_wt_2.5P,ko_b_in_wt_pvalue_twoside,ko_c_in_wt,ko_c_in_wt_bootstrap_median,ko_c_in_wt_bootstrap_mean,ko_c_in_wt_97.5P,ko_c_in_wt_2.5P,ko_c_in_wt_pvalue_twoside,ko_ab_in_wt,ko_ab_in_wt_bootstrap_median,ko_ab_in_wt_bootstrap_mean,ko_ab_in_wt_97.5P,ko_ab_in_wt_2.5P,ko_ab_in_wt_pvalue_twoside,ko_ac_in_wt,ko_ac_in_wt_bootstrap_median,ko_ac_in_wt_bootstrap_mean,ko_ac_in_wt_97.5P,ko_ac_in_wt_2.5P,ko_ac_in_wt_pvalue_twoside,ko_bc_in_wt,ko_bc_in_wt_bootstrap_median,ko_bc_in_wt_bootstrap_mean,ko_bc_in_wt_97.5P,ko_bc_in_wt_2.5P,ko_bc_in_wt_pvalue_twoside,observed_triple_ko,observed_triple_ko_bootstrap_median,observed_triple_ko_bootstrap_mean,observed_triple_ko_97.5P,observed_triple_ko_2.5P,observed_triple_ko_pvalue_twoside,expected_triple_ko_linear,expected_triple_ko_linear_bootstrap_median,expected_triple_ko_linear_bootstrap_mean,expected_triple_ko_linear_97.5P,expected_triple_ko_linear_2.5P,expected_triple_ko_linear_pvalue_twoside,expected_triple_ko,expected_triple_ko_bootstrap_median,expected_triple_ko_bootstrap_mean,expected_triple_ko_97.5P,expected_triple_ko_2.5P,expected_triple_ko_pvalue_twoside,epistasis,epistasis_bootstrap_median,epistasis_bootstrap_mean,epistasis_97.5P,epistasis_2.5P,epistasis_pvalue_twoside,epistasis_pvalue_twoside_FDR,Mouse_genotype
Arid1a_Keap1_Lkb1,Arid1a,Keap1,Lkb1,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.3112021880398845,0.31618117362525977,0.3217660569705266,0.5969980378461918,0.0724685393193065,0.0040000000000000036,0.9110288657052531,0.9093113738271962,0.9082787567300259,1.1427198108227874,0.6719373644719245,0.0,0.5679110390980768,0.5720409171321321,0.5744222082389119,0.8458148869256455,0.34028061841994306,0.0,0.6445164946024042,0.6449178106395046,0.6526530830658285,0.9967723217703056,0.34471952036435466,0.0,0.9758200680337259,0.9620280518482273,0.9548554098749428,1.4635995388720118,0.44882468447591084,0.0,0.8143220248094885,0.833908259919244,0.8496116120645217,1.5822616512890317,0.1914633138866572,0.008000000000000007,-0.16980553020708422,-0.19109192078907794,-0.19695852899869326,0.41580969804682355,-0.8592834862123063,0.542,0.9767999999999999,KTCas12a
Arid1a_Keap1_Mga,Arid1a,Keap1,Mga,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.3112021880398845,0.31618117362525977,0.3217660569705266,0.5969980378461918,0.0724685393193065,0.0040000000000000036,0.2969614094055926,0.2989428588730403,0.2993845997777513,0.4873419296440085,0.10075036716807956,0.0020000000000000018,-0.1251167401236753,-0.1222471510811998,-0.12512661836535163,0.0609966805738802,-0.30828619524243916,0.188,0.24755389926878807,0.2501612085678667,0.24788366212257268,0.48702999332778696,0.015614724663635558,0.038000000000000034,0.4736564743648924,0.45453830300833387,0.45550538782642014,0.9117162501699168,0.010796882671965862,0.04600000000000004,0.009390382956909415,0.03585514592529415,0.0405186505565061,0.6779308709052088,-0.605999059803677,0.8819999999999999,0.23816351631187865,0.19718672749376484,0.20736501156606651,0.8021997326065714,-0.3721391256846426,0.476,0.9767999999999999,KTCas12a
Arid1a_Keap1_Rb1,Arid1a,Keap1,Rb1,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,0.3112021880398845,0.31618117362525977,0.3217660569705266,0.5969980378461918,0.0724685393193065,0.0040000000000000036,1.0899045035926271,1.0751906683496075,1.0754658060981506,1.407547315373865,0.744893341568192,0.0,0.3622603067713353,0.35494151723550765,0.35519301242950135,0.5460518228455205,0.17164471258267147,0.0,0.8773122681746269,0.8666394279085226,0.8716640091022722,1.163207218924121,0.5759054695651227,0.0,0.6609819873890586,0.6203459063389163,0.6192551107235151,1.3362561663572619,-0.0477304725566772,0.08000000000000007,1.1023850110147884,1.1459831361102522,1.1331697647746637,1.8708348512219959,0.4035166821456378,0.0020000000000000018,-0.22507274284016143,-0.2651055567061769,-0.2615057556723914,0.6241670990887972,-1.1227849414000666,0.574,0.9767999999999999,KTCas12a
Arid1a_Keap1_Rbm10,Arid1a,Keap1,Rbm10,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.26889425075962287,0.2691662648206865,0.26734365361504175,0.4733141319048472,0.051416641701984754,0.008000000000000007,0.3112021880398845,0.31618117362525977,0.3217660569705266,0.5969980378461918,0.0724685393193065,0.0040000000000000036,0.40491176967474335,0.38890764662763266,0.39487567467695417,0.6575617274292723,0.15594712677566386,0.0020000000000000018,-0.0348287876429609,-0.03646251762453473,-0.03484996993064227,0.17519148942042415,-0.24719390059693971,0.772,0.41625949587694644,0.4151369770510738,0.4143714647408921,0.687512717027741,0.13937413417682867,0.006000000000000005,0.4290077698468363,0.4148972322106589,0.4117135072934147,0.8341372474560758,-0.03518577554315414,0.06600000000000006,0.2522774002248306,0.2833213610812699,0.2700782544234238,0.7787771792799744,-0.3702941555174378,0.3480000000000001,0.16398209565211586,0.14358544430634348,0.1442932103174682,0.6632150719086911,-0.35690318425119494,0.5880000000000001,0.9767999999999999,KTCas12a
Arid1a_Keap1_Tet2,Arid1a,Keap1,Tet2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.09326431117608285,0.0888381635122969,0.08946312556949153,0.31409235002987307,-0.14521672314912737,0.4139999999999999,0.3112021880398845,0.31618117362525977,0.3217660569705266,0.5969980378461918,0.0724685393193065,0.0040000000000000036,0.0858320746846506,0.08203142090789811,0.07760126042760775,0.2643288777317527,-0.11606101275499278,0.43999999999999995,-0.16378123142208836,-0.158172711240052,-0.1622081485218823,-0.029981372697067164,-0.30783330052901126,0.024,0.08682091309369942,0.091139269390474,0.09193587825043995,0.31245280045980195,-0.13802536464863796,0.4179999999999999,0.2533778302632963,0.23864408008995805,0.23383297924786442,0.673143204066664,-0.2002252193693926,0.32600000000000007,-0.020124798960849594,0.001176354676202404,0.0033261896283875957,0.49111537441039915,-0.4983673426032668,0.996,0.10694571205454902,0.0910465152747506,0.08860968862205236,0.5553256820087701,-0.3731735363010488,0.704,0.9767999999999999,KTCas12a
Arid1a_Keap1_Trp53,Arid1a,Keap1,Trp53,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.21372413288620049,0.19821000506328007,0.2098866834574598,0.4780082930832158,-0.020251775010092524,0.08000000000000007,0.3112021880398845,0.31618117362525977,0.3217660569705266,0.5969980378461918,0.0724685393193065,0.0040000000000000036,0.53462161309332,0.5352910078246409,0.5426459347853784,0.7767358521730579,0.31440105817246994,0.0,0.3859004646354507,0.3818541300583704,0.3815349984162029,0.5368207347469834,0.22410580532512814,0.0,1.2649322593277135,1.2516429699640947,1.266088488980632,1.6363306586552684,0.9530353501730232,0.0,0.3738376519734139,0.353082627684442,0.3542565371358327,0.8441998149877628,-0.1410371851257547,0.15999999999999992,0.8578866137952414,0.8954129989408129,0.8916904530362751,1.4595313394630618,0.3246811822184423,0.0040000000000000036,0.407045645532472,0.3811736361562004,0.37439803594435694,0.9391549189770136,-0.24441590891388384,0.20199999999999996,0.9767999999999999,KTCas12a
Arid1a_Keap1_Tsc2,Arid1a,Keap1,Tsc2,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,-0.1491815371890891,-0.1538891718546062,-0.15009650587623544,0.10613409149742711,-0.3844758141334547,0.228,0.6547368562680672,0.6589732056945357,0.6596198753988829,0.9233493421864847,0.41644536901167817,0.0,0.3112021880398845,0.31618117362525977,0.3217660569705266,0.5969980378461918,0.0724685393193065,0.0040000000000000036,0.7418142175896338,0.7456485968907367,0.7439996730878039,1.0149095359791833,0.46832283672664843,0.0,0.3996747001896998,0.39957923597872697,0.4071645000713173,0.6667741083783228,0.1827299792085144,0.0,0.7397963025170828,0.7296225846071318,0.7515712119564769,1.2385395674619717,0.34579753078612757,0.0,0.8148503753552807,0.8102547875125619,0.8039897290772557,1.265362743929864,0.32869673970825436,0.0,0.6378407304639373,0.6698866563027621,0.668940501052392,1.292502092965777,0.06427147521817402,0.03600000000000003,0.10195557205314554,0.08548873125506173,0.08263071090408478,0.6492333180626737,-0.4531544431306551,0.75,0.9767999999999999,KTCas12a
Arid1a_Lkb1_Mga,Arid1a,Lkb1,Mga,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.31354295527767895,0.30472484148747275,0.3111355341480473,0.5417054174156853,0.10647204152987541,0.0040000000000000036,0.9110288657052531,0.9093113738271962,0.9082787567300259,1.1427198108227874,0.6719373644719245,0.0,0.2969614094055926,0.2989428588730403,0.2993845997777513,0.4873419296440085,0.10075036716807956,0.0020000000000000018,1.1146950627509293,1.1020621464968987,1.0962634912682734,1.366620465661419,0.8158944572447037,0.0,1.2224514855556732,1.2187485486915652,1.2304242511756625,1.562799183892105,0.9431519066520082,0.0,1.438544560500494,1.4218053257616172,1.4160874498992253,1.925225119821892,0.8887241754193261,0.0,0.8841407773612808,0.9042182764661407,0.8878393978768252,1.5080216671229476,0.23430314395045684,0.008000000000000007,0.33831070819439235,0.33593626004999194,0.34258485329883737,1.0498603072760782,-0.3067534444567837,0.32800000000000007,0.9767999999999999,KTCas12a
Arid1a_Lkb1_Rb1,Arid1a,Lkb1,Rb1,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.5008684683018451,0.4556530599288915,0.4748852570451421,0.9989266670328689,0.06804463428153033,0.018000000000000016,0.9110288657052531,0.9093113738271962,0.9082787567300259,1.1427198108227874,0.6719373644719245,0.0,1.0899045035926271,1.0751906683496075,1.0754658060981506,1.407547315373865,0.744893341568192,0.0,1.763759529676405,1.7227738560214543,1.7380002336385176,2.2475597522987623,1.287218648430118,0.0,1.8329674998918006,1.830801131715095,1.8316793577968788,2.289891601700873,1.3815365791414422,0.0,1.62587007352466,1.5726099176277473,1.5798371727963203,2.2973543535965395,0.8617175247209158,0.0,2.1388228254496253,2.1527718798834865,2.1419076236703742,2.815108933934003,1.3836009415945578,0.0,-0.3058553255578247,-0.3169071535732899,-0.31022826587349517,0.5242808902725666,-1.1311502074584021,0.474,0.9767999999999999,KTCas12a
Arid1a_Lkb1_Rbm10,Arid1a,Lkb1,Rbm10,0.30929505627630255,0.2914265261393397,0.2944663595546083,0.5935606211292093,0.0140246776303007,0.03600000000000003,0.8157065489465125,0.8088310749952892,0.8104855561965698,1.0932592417750058,0.5295875038165894,0.0,0.26889425075962287,0.2691662648206865,0.26734365361504175,0.4733141319048472,0.051416641701984754,0.008000000000000007,0.9110288657052531,0.9093113738271962,0.9082787567300259,1.1427198108227874,0.6719373644719245,0.0,0.40491176967474335,0.38890764662763266,0.39487567467695417,0.6575617274292723,0.15594712677566386,0.0020000000000000018,1.0979335533227086,1.0851329217460766,1.0852025370506226,1.333071800943001,0.7909799037082879,0.0,1.2131831158638895,1.187492982311959,1.2041918415224704,1.5987002172162152,0.8535131952347785,0.0,1.393895855982438,1.3745859814310535,1.37229556936622,1.8821198087472895,0.8704961861565113,0.0,1.019978332720267,1.0289186580660408,1.0160613990913827,1.5464938250933635,0.4398312863281318,0.0,0.19320478314362255,0.1905144793476204,0.18813044243108787,0.8515876634083479,-0.42501603387197384,0.5660000000000001,0.9767999999999999,KTCas12a
